constraint_type,scan1_index,scan2_index,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
0,70,71,-0.13924,-0.0504043,-0.123379,-0.0301574,-0.0113688,0.0123874,0.999404
3,25,52,-0.065753,0.213833,0.0768354,-0.0181646,0.0521486,0.99802,0.0301152
1,68,69,-0.181915,-0.111882,-0.0190721,-0.00542627,0.00338874,-0.228962,0.973414
0,71,72,-0.225502,-0.033086,-0.0606156,0.0258132,0.00914449,0.0138164,0.999529
3,24,53,0.0167307,0.194138,0.163414,0.00834985,-0.0653627,-0.997812,0.00535665
1,69,70,-0.254745,-0.125014,0.0127095,0.00546804,-0.0317258,-0.0424447,0.99858
0,72,73,-0.401125,-0.00572814,0.0931135,-0.0072624,0.00727642,0.076311,0.997031
3,26,51,-0.239617,0.0380535,0.092551,-0.00108659,-0.0365276,-0.987445,0.153677
1,70,71,-0.161906,-0.0110437,0.0510522,0.000890458,0.011078,0.0168093,0.999797
0,73,74,-0.300265,0.0371028,-0.0303549,0.0115117,-0.0105723,0.215814,0.97631
3,25,51,0.0963222,0.252407,0.0689628,-0.000271479,-0.0345975,-0.979973,0.196101
1,71,72,-0.223299,-0.0192847,-0.0887463,0.014265,0.00496597,0.0122424,0.999811
0,74,75,-0.226618,0.0419635,-0.0185678,0.0303589,0.00253094,0.208037,0.977646
3,30,47,-0.242129,0.0722488,0.124499,0.0146565,-0.0183656,-0.989789,0.140593
1,72,73,-0.435011,-0.0326468,0.0254458,-0.0121825,0.00307461,0.092768,0.995608
0,75,76,-0.378114,-0.0543398,0.0448326,-0.0371697,0.0073236,-0.0796523,0.996103
3,27,50,-0.272057,0.0171978,0.102284,-0.0351644,0.0100053,0.999245,0.013158
1,73,74,-0.281694,0.0261108,-0.0319291,0.0207457,-0.0183774,0.250299,0.967772
0,76,77,-0.272573,0.00403488,0.00178896,0.00891714,-0.00205194,0.0302899,0.999499
3,31,46,-0.304371,0.07006,0.122506,0.00415354,-0.0146636,-0.996106,0.0868365
1,74,75,-0.225568,0.0303397,-0.00942949,0.00439234,0.00692852,0.190697,0.981615
0,77,78,-0.296411,-0.0615169,0.0237787,-0.0102299,0.00907855,-0.10607,0.994265
3,29,48,-0.29766,0.0126256,0.157572,0.0144602,-0.0119193,-0.991287,0.130382
1,75,76,-0.409617,0.00266723,-0.0350879,-0.0105659,0.0169996,-0.123677,0.992121
0,78,79,-0.0721372,-0.0989202,-0.0200098,-0.00589107,-0.00587159,-0.198695,0.980026
3,33,43,-0.318504,0.0341511,0.115469,0.0190196,-0.0074445,-0.998517,0.0504691
1,76,77,-0.261876,-0.0261588,0.0373114,0.00825934,0.000567724,0.0639581,0.997918
0,79,80,-0.0172104,-0.124416,-0.00497467,0.000960398,-0.00358299,-0.234847,0.972025
3,15,56,0.0922677,0.198981,0.306683,-0.0460575,-0.0681586,-0.872394,0.481831
1,77,78,-0.301395,-0.0133672,0.0236548,-0.00957911,0.0114451,-0.148496,0.9888
0,80,81,-0.00691397,-0.145547,0.00410631,-0.00875107,-0.00463984,-0.257325,0.966274
3,23,54,-0.133693,0.309405,0.169606,0.00205783,-0.0540542,-0.976314,0.209489
1,78,79,-0.0666205,-0.113395,-0.00994076,-0.00706779,0.00810315,-0.247669,0.968785
0,81,82,0.0140323,-0.146777,0.00115003,-0.00736459,-0.00198451,-0.217923,0.975936
3,28,49,-0.371815,0.0251457,0.112784,-0.0154214,0.0129975,0.999146,0.0360658
1,79,80,-0.00471987,-0.107274,0.0040074,-0.00272624,0.000282389,-0.214956,0.97662
0,82,83,0.00737028,-0.190739,-0.0112808,-0.0130665,0.00484872,-0.270619,0.962586
3,25,50,0.250177,0.324031,0.0823535,0.0186303,-0.0253851,-0.96358,0.265561
1,80,81,0.00807393,-0.151235,0.0171016,0.000877883,-0.00417401,-0.273161,0.961959
0,83,84,-0.128044,-0.0566402,0.00851181,-0.00372686,0.00592508,-0.1246,0.992182
3,17,57,0.0697703,0.297854,0.29113,-0.0493414,-0.0355151,-0.83356,0.549074
1,81,82,0.00549612,-0.148023,-0.00741868,-0.00343351,-0.00520645,-0.215609,0.97646
0,84,85,-0.351764,-0.051485,0.118961,0.0214538,0.00109781,0.00261585,0.999766
3,32,45,-0.417869,0.028445,0.105235,-0.0017125,0.0129972,-0.998412,0.0547822
1,82,83,0.0145598,-0.159472,0.000865842,0.00148689,-0.000632358,-0.246838,0.969055
0,85,86,-0.314855,-0.10189,0.079768,-0.0112097,0.008406,-0.204399,0.978787
3,19,57,-0.159621,0.319876,0.268221,-0.019386,-0.0509603,-0.998445,0.01159
2,19,57,-0.850878,-0.205883,0.0359499,-0.0189643,0.0132871,-0.999365,0.0270719
1,83,84,-0.172142,-0.0973859,-0.0501418,-0.0143496,-0.00173136,-0.0833264,0.996417
0,86,87,-0.187181,-0.0756728,0.0382518,-0.00123307,-0.00158692,-0.212628,0.977131
3,18,59,-0.134413,0.16996,0.0854881,-0.00558266,-0.00408168,-0.815916,0.578129
1,84,85,-0.376533,0.0116026,0.0832761,-0.00216828,-0.00505506,-0.00388437,0.999977
0,87,88,-0.230643,-0.0661873,0.0642774,0.0071702,0.0251317,0.1412,-0.989636
3,15,58,0.189537,0.1257,0.0627829,-0.0130291,-0.0126008,-0.896821,0.442021
1,85,86,-0.377775,-0.0557311,0.0502161,0.00368903,0.00933398,-0.271519,0.962381
0,88,89,-0.319629,-0.0530443,0.0293052,0.0315516,0.0184478,-0.0342964,0.998743
